term,tfidf_score
ürün,0.1729826906863013
çok,0.092585710004096
iade,0.07742959335894375
yok,0.06709484185250807
var,0.05902310112859358
değil,0.05811208173981304
patates,0.05627217626913651
güzel,0.048830478767035224
hiç,0.0480824957838428
philips,0.03985223398047866
ay,0.03742938176255487
kullanılmış,0.03642902580668409
kötü,0.036052905173069354
rağmen,0.03505165141279188
şekilde,0.03469005027835015
ürünün,0.03450232983067074
sonra,0.034482344543848964
sadece,0.034088306411798545
henüz,0.03402327348253701
ilk,0.03387082812405082
tavuk,0.03253366836699037
ettim,0.03248296544579938
önce,0.032338987277969744
yeni,0.03189395048886751
etmiyorum,0.03175101469792039
kırık,0.031538413813068676
zor,0.029369837472436273
satıcı,0.02871475090366322
böyle,0.028460213981625605
kısmı,0.02835530757135013
pişirme,0.02664510299355061
bana,0.026545174238308163
iyi,0.026223795274517563
almayın,0.025418048716425265
satıcıdan,0.025062147978088246
olduğunu,0.02397043975724417
az,0.023766761031378553
kalıyor,0.023682929377864904
büyük,0.0226948577890528
