term,tfidf_score
patates kızartması,0.019591798637884777
ürün çok,0.018539417161289852
fiyat performans,0.017438231782707883
çok kullanışlı,0.015080654491860229
çok hızlı,0.01290062776960328
kısa sürede,0.012735415409150254
çok pratik,0.011653535987431428
henüz kullanmadım,0.009586204696383351
çıtır çıtır,0.009509538115781306
güzel pişiriyor,0.009359438029550412
kişilik aile,0.007791501871847258
çok kolay,0.007704752948509131
iyiki almışım,0.007692682814171114
kaliteli ürün,0.007589800244866384
çok az,0.00756344161824286
hızlı şekilde,0.007414230346816812
kullanımı kolay,0.007315989629893323
çok büyük,0.007240088309153292
sorun yok,0.00673644262751039
patates denedim,0.006692825495069829
çok kaliteli,0.006589897040793644
kullanışlı ürün,0.006580042230234769
çok güzel ürün,0.006424231458294175
güzel kullanışlı,0.005929661015701065
tavuk patates,0.005910085365726003
alın aldırın,0.005826703029696825
patates tavuk,0.005789356885732052
ilk patates,0.005652653121792447
sıkıntı yok,0.005466953230170054
keşke önce,0.0054376140812601465
plastik kokusu,0.00540491721993118
on numara,0.005176727749733425
az yağ,0.005099985831904951
çok şık,0.005072653709152273
sulu yemek,0.004863904795221549
elim ayağım,0.004713438022576615
philips kalitesi,0.004701791412438036
tavuk kanat,0.004697932178893097
başarılı ürün,0.004664925619915696
çok lezzetli,0.004556503562489187
iç haznesi,0.004489630750383365
wi fi,0.004478047733718605
hızlı güzel,0.004439029710692151
fiyatına göre,0.004412538335528984
patates yaptım,0.004338517220017648
severek kullanıyorum,0.004326369057835845
çok beğendi,0.004321687938897182
çok hızlıydı,0.004304141949653289
uygun fiyat,0.004296260592299913
iç hacmi,0.0042731515298563335
tek kelime,0.004119907891694401
gönül rahatlığıyla,0.004082121217273398
yer kaplıyor,0.004051691495146283
eve lazım,0.004042959841636001
anneme hediye,0.004007901172111593
güzel pişirdi,0.0037439049517257496
ilk başta,0.0036869404559565634
alt üst,0.0036844555868820123
patates köfte,0.003659662119658281
aldıktan sonra,0.003632660934290085
güzel oluyor,0.0035719699236531925
haznesi geniş,0.0035452186236427344
kişilik aileyiz,0.0035422766853776193
az yağlı,0.003541798063283256
almaya karar,0.0035055547486288864
uzun zamandır,0.0035046696124046537
olması çok,0.0034847795483525955
malzeme kalitesi,0.0034690405715883097
hemen denedim,0.003433221106695706
sorun yaşamadım,0.0033476805591915932
boş çalıştırdım,0.0033018638124755026
hiç gerek,0.0032210436678623195
yorum yapmak,0.0030907259306519703
tavuk but,0.003084933392239695
para vermeye,0.0030533764177634102
buz çözme,0.0030452793142978795
kızartması yaptım,0.0030288833499486118
et tavuk,0.0030276203297564266
patates kızarttım,0.0030194165953698377
çok araştırdım,0.002988288031159731
yok çok,0.002963054705591889
göre çok,0.0029090942535988165
çok güzel pişiriyor,0.0028894680462976563
tavuk köfte,0.0028860094634484035
tavuk balık,0.0028172958232341766
fazla para,0.002637326960834645
temizliği çok,0.002483002229744766
çok az yağ,0.002460478431476949
köfte patates,0.002412635203167951
patates kızartması yaptım,0.0023048717179915104
