term,tfidf_score
ürün,0.19251439629509234
çok,0.10078928551887542
iade,0.08407133245133484
değil,0.06311979087134217
patates,0.05872455511214696
güzel,0.05168287528593707
philips,0.041887382178650893
ay,0.03831265084271935
kullanılmış,0.03779581949421355
kötü,0.03756051884783099
şekilde,0.037110263351778
rağmen,0.037015597414401885
ürünün,0.03679407390162822
sonra,0.03663115491671147
sadece,0.03561292996401169
ilk,0.03559510835870719
henüz,0.035123141276646896
önce,0.03371713085006757
tavuk,0.03370033313851854
kırık,0.03356155931514815
ettim,0.033317915247711424
yeni,0.03293136044086765
etmiyorum,0.032149837659965354
böyle,0.03200865030192605
zor,0.03090511383899201
almayın,0.030106624042009443
kısmı,0.029102208126803718
iyi,0.028786704011799075
bana,0.028772354476282274
pişirme,0.02867267528870276
kalıyor,0.02534605156814943
satıcıdan,0.02533014403885735
olduğunu,0.025108789753125933
büyük,0.023770400606529993
