yorum,puan,product_id,product_name,source_url,cleaned_yorum,insight_category,patterns_context
Yasomi satıcısı kullanılmış ürün gönderiyor bu satıcıdan memnun kalmadım ve müşteri temsilciside ukala bana agrasif davranış sergiledi,1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,yasomi satıcısı kullanılmış ürün gönderiyor satıcıdan memnun kalmadım müşteri temsilciside ukala bana agrasif davranış sergiledi,Hizmet/Paketleme Şikayeti,
"Urunu hediye aldim paket teslim edildikten sonra hediyeyi aldigim kişi kullanılmış bu diye beni aradi şok oldum,kagidi bile görsellerdeki gibiydi rezil oldum ayıptır.",1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,urunu hediye aldim paket teslim edildikten sonra hediyeyi aldigim kişi kullanılmış diye beni aradi şok oldum kagidi bile görsellerdeki gibiydi rezil oldum ayıptır,Hizmet/Paketleme Şikayeti,
Ürün elime bu gün geçti. Ambalajı gayet güzeldi .Patates denedim ilk yapmama rağmen fena değildi. Tavuk but deniycem umarım. Güzel olur .Alacak olanlara tavsiyem hem ucuz hemde iyi tavsiye ederim.,1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,ürün elime gün geçti ambalajı gayet güzeldi patates denedim ilk yapmama rağmen fena değildi tavuk but deniycem umarım güzel olur alacak olanlara tavsiyem hem ucuz hemde iyi tavsiye ederim,Genel Deneyim / Diğer,
"Asla tavsiye etmem, eğer kendi paranızla kendinize dert yaratmak istiyorsanız bu cihazı alırsınız. Ürünü birkaç ay kullandıktan sonra rezistans kısmı paslandı. Satıcıyı aradım yardımcı olmadı teknik servise yönlendirdi. Teknik servise günler sonra ulaşabildim ve ürünü gönderdim. Göndermez olaydım. Ürünümü kırdılar kırdıkları için garantiye girmez diye bahane uydurdular ben kabuk etmeyince bu defa kullanıcı hatası diyip benden para istediler. Tek amaçları sadece para koparmak...tam iki ay boyunca cihazımı onlardan almaya çalıştım...yaşadığım stresi tahmin edemem. Aklı olan bu cihazı almaz ve kendine dert yaratmaz",1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,asla tavsiye etmem eğer kendi paranızla kendinize dert yaratmak istiyorsanız cihazı alırsınız ürünü birkaç ay kullandıktan sonra rezistans kısmı paslandı satıcıyı aradım yardımcı olmadı teknik servise yönlendirdi teknik servise günler sonra ulaşabildim ürünü gönderdim göndermez olaydım ürünümü kırdılar kırdıkları garantiye girmez diye bahane uydurdular kabuk etmeyince defa kullanıcı hatası diyip benden para istediler tek amaçları sadece para koparmak tam iki ay boyunca cihazımı onlardan almaya çalıştım yaşadığım stresi tahmin edemem aklı olan cihazı almaz kendine dert yaratmaz,Hizmet/Paketleme Şikayeti | Doğrudan Memnuniyetsizlik / İade,
Ürünü rezidans kapalı dıye satıyorlar rezidans kısmı açık satıcıya soru soruyorum vıdeo açın izleyin dıyor bu nasıl satış,1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,ürünü rezidans kapalı dıye satıyorlar rezidans kısmı açık satıcıya soru soruyorum vıdeo açın izleyin dıyor nasıl satış,Hizmet/Paketleme Şikayeti,
Uygulaması yokmuş,1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,uygulaması yokmuş,Genel Deneyim / Diğer,
Yasomi satıcısı kullanılmış ürün gönderdi ve yetkili satıcının bu kadar sorumsuzlugu yenileme talebiyle ugraştıracak memnun kalmadım,1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,yasomi satıcısı kullanılmış ürün gönderdi yetkili satıcının kadar sorumsuzlugu yenileme talebiyle ugraştıracak memnun kalmadım,Hizmet/Paketleme Şikayeti,
"Kokuyor, içini pişirmeden dışını yakıyor (düşükte olsa yüksekte olsa derece farketmeksizin)",1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,kokuyor içini pişirmeden dışını yakıyor düşükte olsa yüksekte olsa derece farketmeksizin,Genel Deneyim / Diğer,
"Yasomi Satıcısından Asla Ürün Almayın.
Ürün arızalı olmasına rağmen köpükleri iade etmediğimiz için iadeyi kabul etmedi. Allahtan köpükleri atmamıştık. İlgisiz satıcı , ürününün arkasında durmayan satıcı.",1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,yasomi satıcısından asla ürün almayın ürün arızalı olmasına rağmen köpükleri iade etmediğimiz iadeyi kabul etmedi allahtan köpükleri atmamıştık ilgisiz satıcı ürününün arkasında durmayan satıcı,Hizmet/Paketleme Şikayeti,
Almayın paranıza yazık. Başka marka alın. İki taraf ürünün arkasında durmadı,1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,almayın paranıza yazık başka marka alın iki taraf ürünün arkasında durmadı,Genel Deneyim / Diğer,
