yorum,puan,product_id,product_name,source_url,cleaned_yorum,insight_category,patterns_context
"Yaklaşık bir haftadır kullanıyorum. Ürün kenarlarında minik çizikler vardı ama çok da dert etmedim açıkçası göze batacak cinsten değiller. Biraz sesli çalışıyor, alırken yorumlarda dikkat etmemişim görsem muhakkak göz önünde bulundururdum. Ayrıca dışarı koku da veriyor bilmiyorum belki hepsi öyledir ama pek azımsanacak bir koku da değil. Onun dışında fiyat performans denebilecek bir ürün. Daha küçüğü kesinlikle kullanışlı olmazmış bu boy oldukça ideal. Çok lazım mı derseniz açıkçası ben balık ve patates için almıştım. Benim işimi görüyor uzun uzun fırın ısıtma derdi de yok çok hızlı bir şekilde yemeğiniz hazır. Kargo hızlıydı ama sırf bu yüzden fazladan yıldız vermek bana pek mantıklı gelmediği için sadece ürünü değerlendiriyorum. Bu arada paketleme konusunda da çok bir beklentiniz olmasın kendi kutusunda öylece gönderiyorlar kargo görevlisinin insafına artık.",4,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,yaklaşık haftadır kullanıyorum ürün kenarlarında minik çizikler vardı ama çok dert etmedim açıkçası göze batacak cinsten değiller biraz sesli çalışıyor alırken yorumlarda dikkat etmemişim görsem muhakkak göz önünde bulundururdum ayrıca dışarı koku veriyor bilmiyorum belki hepsi öyledir ama pek azımsanacak koku değil onun dışında fiyat performans denebilecek ürün daha küçüğü kesinlikle kullanışlı olmazmış boy oldukça ideal çok lazım derseniz açıkçası balık patates almıştım benim işimi görüyor uzun uzun fırın ısıtma derdi yok çok hızlı şekilde yemeğiniz hazır kargo hızlıydı ama sırf yüzden fazladan yıldız vermek bana pek mantıklı gelmediği sadece ürünü değerlendiriyorum arada paketleme konusunda çok beklentiniz olmasın kendi kutusunda öylece gönderiyorlar kargo görevlisinin insafına artık,Hizmet/Satıcı Memnuniyeti | Doğrudan Memnuniyetsizlik / İade,
"Asla tavsiye etmem, eğer kendi paranızla kendinize dert yaratmak istiyorsanız bu cihazı alırsınız. Ürünü birkaç ay kullandıktan sonra rezistans kısmı paslandı. Satıcıyı aradım yardımcı olmadı teknik servise yönlendirdi. Teknik servise günler sonra ulaşabildim ve ürünü gönderdim. Göndermez olaydım. Ürünümü kırdılar kırdıkları için garantiye girmez diye bahane uydurdular ben kabuk etmeyince bu defa kullanıcı hatası diyip benden para istediler. Tek amaçları sadece para koparmak...tam iki ay boyunca cihazımı onlardan almaya çalıştım...yaşadığım stresi tahmin edemem. Aklı olan bu cihazı almaz ve kendine dert yaratmaz",1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,asla tavsiye etmem eğer kendi paranızla kendinize dert yaratmak istiyorsanız cihazı alırsınız ürünü birkaç ay kullandıktan sonra rezistans kısmı paslandı satıcıyı aradım yardımcı olmadı teknik servise yönlendirdi teknik servise günler sonra ulaşabildim ürünü gönderdim göndermez olaydım ürünümü kırdılar kırdıkları garantiye girmez diye bahane uydurdular kabuk etmeyince defa kullanıcı hatası diyip benden para istediler tek amaçları sadece para koparmak tam iki ay boyunca cihazımı onlardan almaya çalıştım yaşadığım stresi tahmin edemem aklı olan cihazı almaz kendine dert yaratmaz,Hizmet/Paketleme Şikayeti | Doğrudan Memnuniyetsizlik / İade,
"Ürünle patates, tavuk ve sebze gibi ürünleri denedim. Sebze ve patatesi ya çiğ bırakıyor ya da yakıyor. Ayrıca bence bu ürün Xiaomi üretimi değil çünkü akıllı telefon desteği yok ve 4 litrelik Xiaomi Pro modeli ile arasında çok fazla kalite farkı var. 4 litrelik model bu modelden çok daha fazla kaliteli. 4 litre olanda çok fazla mod var ve malzeme kalitesi çok daha iyi ayrıca onda ızgara da var bunda yok. Bu urunu aldığıma çok pişman oldum. Ürün zaten genel olarak yetersiz bir ürün. Çoğu ürünü ya yakıyor ya da çiğ bırakıyor. İlla bir airfryer alacağım diyorsanız da Xiaomi nin 4 litrelik Pro modelini alın. Bu ürün bence Xiaomi değil başka firma üretmiş sadece Xiaomi ismi yapıştırılmış gibi bir duruşu var. Ayrıca ürünü Hepsiburada satıcılı olarak aldım. Özellikle de sordum distribütör garantili midir diye. Fakat ürün distribütör garantili çıkmadı. Delta servis garantili çıktı ve ürünü bir medikal firması ithal etmiş olarak görünüyor. Sonuç olarak üründen de satıcıdan da memnun kalmadım. İmkanım olsa 4 litre modeli ile değişirdim veya komple iade ederdim. Keşke Hepsiburada bu yorumu görse de kullanılmış bile olsa bu ürünü benden iade alsa. Ama tabi bu bir hayal. Herkese iyi günler",3,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,ürünle patates tavuk sebze ürünleri denedim sebze patatesi ya çiğ bırakıyor ya yakıyor ayrıca bence ürün xiaomi üretimi değil çünkü akıllı telefon desteği yok litrelik xiaomi pro modeli arasında çok fazla kalite farkı var litrelik model modelden çok daha fazla kaliteli litre olanda çok fazla mod var malzeme kalitesi çok daha iyi ayrıca onda ızgara var bunda yok urunu aldığıma çok pişman oldum ürün zaten genel olarak yetersiz ürün çoğu ürünü ya yakıyor ya çiğ bırakıyor illa airfryer alacağım diyorsanız xiaomi nin litrelik pro modelini alın ürün bence xiaomi değil başka firma üretmiş sadece xiaomi ismi yapıştırılmış duruşu var ayrıca ürünü hepsiburada satıcılı olarak aldım özellikle sordum distribütör garantili midir diye fakat ürün distribütör garantili çıkmadı delta servis garantili çıktı ürünü medikal firması ithal etmiş olarak görünüyor sonuç olarak üründen satıcıdan memnun kalmadım imkanım olsa litre modeli değişirdim veya komple iade ederdim keşke hepsiburada yorumu görse kullanılmış bile olsa ürünü benden iade alsa ama tabi hayal herkese iyi günler,Negatif: Performans Yetersizliği | Hizmet/Paketleme Şikayeti | Doğrudan Memnuniyetsizlik / İade,[DAHA IYI]: mod var malzeme kalitesi çok daha iyi ayrıca onda ızgara var bunda
Öncelikle 3.5L olanı kullanıyorduk misafir gelince yetersiz olduğunu düşündük o sırada 6L çıktı hemen aldık pişirmesinden gayet memnunduk fakat 6L de patates sebze vs zeminine yapışıyor ve ayırırken zarar veriyorsunuz mi mağazasına gittik durumu anlattık yağlı kağıt kullanın dediler kullandık bu seferde patates pişmiyor ne atarsanız atın hava akışı düzgün sağlanmadığında bir dilim patatesin bir kısmı yanmış bir kısmı çiğ kalıyor ve çok uzun süre çalıştırmak zorunda kalıyorsunuz Mi mağazasına gittik tekrar anlattık bu pişmiyo dedik 3.5 L de de yapışıyo almasaydınız gibi sert bir tavır takındılar çok ilginç 3.5 L de en ufak yapışma olmuyordu bunda oldu pişmanım iade edeceğim,2,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,öncelikle l olanı kullanıyorduk misafir gelince yetersiz olduğunu düşündük sırada l çıktı hemen aldık pişirmesinden gayet memnunduk fakat l patates sebze vs zeminine yapışıyor ayırırken zarar veriyorsunuz mağazasına gittik durumu anlattık yağlı kağıt kullanın dediler kullandık seferde patates pişmiyor ne atarsanız atın hava akışı düzgün sağlanmadığında dilim patatesin kısmı yanmış kısmı çiğ kalıyor çok uzun süre çalıştırmak zorunda kalıyorsunuz mağazasına gittik tekrar anlattık pişmiyo dedik l yapışıyo almasaydınız sert tavır takındılar çok ilginç l ufak yapışma olmuyordu bunda oldu pişmanım iade edeceğim,Doğrudan Memnuniyetsizlik / İade,
"Merhaba, yorumları okuyup aldım.   çoğunluk güzel olduğunu iddia etmiş fakat ben çok kullanışlı bulup beğenemedim. fırından 5 dk daha erken pişiriyor tek arısı 5 dk :)
patates kızartması ayarında patatesler pişmiyor +10 dk daha pişirmek gerekiyor, toplam 30 dk da 1 avuç patates kızarttıktan sonra airfryer a gerek yok. patatesi  fırında veya tavada da kızartırım, ayrıca patatesler çok lezzetsiz oldu,  tadını hiç beğenmedik. patates dışında pişirmiş olduğum   köfte ve tavuk kanat, mantar  lezzetli oldu  ama bunları fırında da yapabiliyorum. zamandan 5 dk tasarruf etmek için tezgahımda yer kaplayan  kocaman bir şeye 3900 tl para vermeye hiç gerek yokmuş.  onun yerine keşke  kahve makinası  alsaymışım.",3,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,merhaba yorumları okuyup aldım çoğunluk güzel olduğunu iddia etmiş fakat çok kullanışlı bulup beğenemedim fırından dk daha erken pişiriyor tek arısı dk patates kızartması ayarında patatesler pişmiyor dk daha pişirmek gerekiyor toplam dk avuç patates kızarttıktan sonra airfryer a gerek yok patatesi fırında veya tavada kızartırım ayrıca patatesler çok lezzetsiz oldu tadını hiç beğenmedik patates dışında pişirmiş olduğum köfte tavuk kanat mantar lezzetli oldu ama bunları fırında yapabiliyorum zamandan dk tasarruf etmek tezgahımda yer kaplayan kocaman şeye tl para vermeye hiç gerek yokmuş onun yerine keşke kahve makinası alsaymışım,Negatif: Ürün Gereksizliği | Doğrudan Memnuniyetsizlik / İade,[GEREK YOK]: patates kızarttıktan sonra airfryer a gerek yok patatesi fırında veya tavada kızartırım
Keki pişirmiyor. Üstelik kendi kek  ayarında olmasına rağmen üstü yanık içi sıvı şekilde kalıyor. İki defa denedim. Kesinlikle tavsiye etmiyorum.,1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,keki pişirmiyor üstelik kendi kek ayarında olmasına rağmen üstü yanık içi sıvı şekilde kalıyor iki defa denedim kesinlikle tavsiye etmiyorum,Doğrudan Memnuniyetsizlik / İade,
Hiç beğenmedim pışirme süresi cok uzun altı pişmiyor,1,Bilinmiyor,"NeutronSmart Air Fryer Pro 7,3 L Tek Hazneli Yağsız Fritöz – Çıkarılabilir Kapaklı, Enerji Tasarruflu ve Kolay Temizlenir",https://www.hepsiburada.com/neutron-smart-air-fryer-pro-7-3-l-tek-hazneli-yagsiz-fritoz-cikarilabilir-kapakli-enerji-tasarruflu-ve-kolay-temizlenir-p-HBCV000049EHA2?magaza=Whirtz%20T%C3%BCrkiye,hiç beğenmedim pışirme süresi cok uzun altı pişmiyor,Doğrudan Memnuniyetsizlik / İade,
"Ürünü olumlu yorumlara güvenerek aldım ve hiç bir yorumda eksik parça sorunu belirtilmemiş olmamasına rağmen bana gelen kutuda Aparat çıkarıcı kutu içerisinden çıkmadı satıcıya sordum.olumsuz cevağ verdi.HB müşter,s,n, korumak adına iade talebimi oluşturdu ve iade ettim.Çok beğenerek almıştım ancak kullanma imkanım olmadı.",1,Bilinmiyor,"Wiami12L Yağsız Hava Fritözü – Tek Hazneli, LED Ekranlı, Mekanik Kontrollü Sağlıklı ve Pratik Pişirme Cihazı",https://www.hepsiburada.com/wiami-12l-yagsiz-hava-fritozu-tek-hazneli-led-ekranli-mekanik-kontrollu-saglikli-ve-pratik-pisirme-cihazi-p-HBCV00003MS94G?magaza=MarkaDepo,ürünü olumlu yorumlara güvenerek aldım hiç yorumda eksik parça sorunu belirtilmemiş olmamasına rağmen bana gelen kutuda aparat çıkarıcı kutu içerisinden çıkmadı satıcıya sordum olumsuz cevağ verdi hb müşter s n korumak adına iade talebimi oluşturdu iade ettim çok beğenerek almıştım ancak kullanma imkanım olmadı,Hizmet/Paketleme Şikayeti | Doğrudan Memnuniyetsizlik / İade,
"Çalışınca aşırı bir plastik yanık kokusu var cihazda. 
Koku geçsin diye 2gündür birkaç kez boş çalıştırdım. Halen devam ediyor. Böyle giderse iade edeceğim çünkü koku yemeklerin tadını etkileyecek kadar ağır. Yan komşum bişeymi yanıyor diye gelip sordu.",1,HBC00005BTNPV,RobwellAS28 Airfryer Halojen Isı Sistemli Sesli Uyarı Xl Yağsız Hava Fritözü Robx Türkiye Garantili,https://www.hepsiburada.com/robwell-as28-airfryer-halojen-isi-sistemli-sesli-uyari-xl-yagsiz-hava-fritozu-robx-turkiye-garantili-pm-HBC00005BTNPV,çalışınca aşırı plastik yanık kokusu var cihazda koku geçsin diye gündür birkaç kez boş çalıştırdım halen devam ediyor böyle giderse iade edeceğim çünkü koku yemeklerin tadını etkileyecek kadar ağır yan komşum bişeymi yanıyor diye gelip sordu,Doğrudan Memnuniyetsizlik / İade,
"uzun araştırmalarım sonucu ve buradaki yorumları da dikkate alarak sipariş verdim.paketleme ve teslimat iyi ve sorunsuzdu.ancak kullanmaya başlayınca yazılan bilgi ve yorumların eksik olduğunu gördüm.ilk başta diğer bazı yorum yapanlar gibi ben de ızgara demiri ve pizza altlığı gibi ek aksesuarların olmadığını söylemekle başlayayım.dondurulmuş patates ve benzer yiyecekleri istediğiniz kıvamda deneyerek mükemmel tad elde edebiliyorsunuz.ama etlere gelince (balık, tavuk ve kırmızı et) maalesef istediğiniz tadı ve mükemmelliği çok denemeler sonucu elde edebiliyorsunuz.bu arada bir çok defa etleri heba etmeniz gerekiyor.ALETİN EN ÖNEMLİ SORUNU bence, etleri pişirirken ortamın duman içinde kalması.oysa ben bu ürünü ortalık kokmasın, yağ, is, duman içinde kalmasın diye özellikle tercih etmiştim.set üstü aspiratörü en hızlıda kullanmamıza rağmen mutfak yoğun beyaz duman içinde kaldığı gibi koku da bir müddet maalesef ortamdan gitmiyor.hele balık ve kırmızı etde açık ızgara tavada yaşanan ortamla birebir aynı.yağsız denemelerimizde bile yoğun duman yaşanıyor.burada tek sevindirici olay ortalıkta sıçrayan yağın olmaması ve ortamın yağa bulanmaması.et ürünlerini yapan diğer yorumcular bu konuda bir şey yazmamış nedense.açıklayıcı kitaptaki süreler bazen uzun bazen kısa gelebiliyor.bunu herkes deneyerek kendi zevk ve damak tadına göre belirlemeli diye düşünüyorum.örneğin dondurulmuş hazır patateste biz 20-25 dk da istediğimiz sonucu elde ettik.etlerde ise etin türüne ve kalınlığına göre 20 dk. veya 30 dk. sürüyor.dediğim gibi herkes bunu test etmeli.bu arada süreyi az tutup kıvam istediğiniz gibi değilse ilaveten ek süre ile istediğiniz kıvama getirilebileceğini unutmamak gerekir.yoksa baştan 30 dk. deyip sonunda kurumuş veya aşırı pişmiş etle karşılaşabilirsiniz.sonuçta yoğun duman olayını dert etmeyecekseniz ürün mükemmel.ama duman takıntısı olanlara tavsiye etmiyorum.bu yoğun dumanla ilgili tavsiyesi olan var ve yazarsa memnun oluruz.",3,HB00000DGBRG,PhilipsAvance Collection HD9650/90 XXL Airfryer 7.3 Lt Tek Hazneli Yağsız Pişirme ve Otomatik Kapanma Özellikli Fritöz,https://www.hepsiburada.com/philips-avance-collection-hd9650-90-xxl-airfryer-7-3-lt-tek-hazneli-yagsiz-pisirme-ve-otomatik-kapanma-ozellikli-fritoz-pm-HB00000DGBRG,uzun araştırmalarım sonucu buradaki yorumları dikkate alarak sipariş verdim paketleme teslimat iyi sorunsuzdu ancak kullanmaya başlayınca yazılan bilgi yorumların eksik olduğunu gördüm ilk başta diğer bazı yorum yapanlar ızgara demiri pizza altlığı ek aksesuarların olmadığını söylemekle başlayayım dondurulmuş patates benzer yiyecekleri istediğiniz kıvamda deneyerek mükemmel tad elde edebiliyorsunuz ama etlere gelince balık tavuk kırmızı et maalesef istediğiniz tadı mükemmelliği çok denemeler sonucu elde edebiliyorsunuz arada çok defa etleri heba etmeniz gerekiyor aletin önemli sorunu bence etleri pişirirken ortamın duman içinde kalması oysa ürünü ortalık kokmasın yağ is duman içinde kalmasın diye özellikle tercih etmiştim set üstü aspiratörü hızlıda kullanmamıza rağmen mutfak yoğun beyaz duman içinde kaldığı koku müddet maalesef ortamdan gitmiyor hele balık kırmızı etde açık ızgara tavada yaşanan ortamla birebir aynı yağsız denemelerimizde bile yoğun duman yaşanıyor burada tek sevindirici olay ortalıkta sıçrayan yağın olmaması ortamın yağa bulanmaması et ürünlerini yapan diğer yorumcular konuda şey yazmamış nedense açıklayıcı kitaptaki süreler bazen uzun bazen kısa gelebiliyor bunu herkes deneyerek kendi zevk damak tadına göre belirlemeli diye düşünüyorum örneğin dondurulmuş hazır patateste dk istediğimiz sonucu elde ettik etlerde etin türüne kalınlığına göre dk veya dk sürüyor dediğim herkes bunu test etmeli arada süreyi az tutup kıvam istediğiniz değilse ilaveten ek süre istediğiniz kıvama getirilebileceğini unutmamak gerekir yoksa baştan dk deyip sonunda kurumuş veya aşırı pişmiş etle karşılaşabilirsiniz sonuçta yoğun duman olayını dert etmeyecekseniz ürün mükemmel ama duman takıntısı olanlara tavsiye etmiyorum yoğun dumanla ilgili tavsiyesi olan var yazarsa memnun oluruz,Hizmet/Paketleme Şikayeti | Doğrudan Memnuniyetsizlik / İade,
